run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230512-17:41:55-38613,runattr,,,configname,General,,
General-0-20230512-17:41:55-38613,runattr,,,datetime,20230512-17:41:55,,
General-0-20230512-17:41:55-38613,runattr,,,datetimef,20230512-174155,,
General-0-20230512-17:41:55-38613,runattr,,,experiment,General,,
General-0-20230512-17:41:55-38613,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230512-17:41:55-38613,runattr,,,iterationvars,,,
General-0-20230512-17:41:55-38613,runattr,,,iterationvarsd,,,
General-0-20230512-17:41:55-38613,runattr,,,iterationvarsf,,,
General-0-20230512-17:41:55-38613,runattr,,,measurement,,,
General-0-20230512-17:41:55-38613,runattr,,,network,Network,,
General-0-20230512-17:41:55-38613,runattr,,,processid,38613,,
General-0-20230512-17:41:55-38613,runattr,,,repetition,0,,
General-0-20230512-17:41:55-38613,runattr,,,replication,#0,,
General-0-20230512-17:41:55-38613,runattr,,,resultdir,results,,
General-0-20230512-17:41:55-38613,runattr,,,runnumber,0,,
General-0-20230512-17:41:55-38613,runattr,,,seedset,0,,
General-0-20230512-17:41:55-38613,config,,,cmdenv-express-mode,true,,
General-0-20230512-17:41:55-38613,config,,,network,Network,,
General-0-20230512-17:41:55-38613,config,,,sim-time-limit,200s,,
General-0-20230512-17:41:55-38613,config,,,Network.nodeTx.gen.generationInterval,exponential(0.55),,
General-0-20230512-17:41:55-38613,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230512-17:41:55-38613,config,,,Network.queue.bufferSize,200,,
General-0-20230512-17:41:55-38613,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230512-17:41:55-38613,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230512-17:41:55-38613,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20230512-17:41:55-38613,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20230512-17:41:55-38613,config,,,Network.queue.serviceTime,exponential(0.001),,
