run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230512-15:04:36-17103,runattr,,,configname,General,,
General-0-20230512-15:04:36-17103,runattr,,,datetime,20230512-15:04:36,,
General-0-20230512-15:04:36-17103,runattr,,,datetimef,20230512-150436,,
General-0-20230512-15:04:36-17103,runattr,,,experiment,General,,
General-0-20230512-15:04:36-17103,runattr,,,inifile,/home/gasbon/Documents/Famaf/actual/redes/labs/lab3/omnetpp.ini,,
General-0-20230512-15:04:36-17103,runattr,,,iterationvars,,,
General-0-20230512-15:04:36-17103,runattr,,,iterationvarsd,,,
General-0-20230512-15:04:36-17103,runattr,,,iterationvarsf,,,
General-0-20230512-15:04:36-17103,runattr,,,measurement,,,
General-0-20230512-15:04:36-17103,runattr,,,network,Network,,
General-0-20230512-15:04:36-17103,runattr,,,processid,17103,,
General-0-20230512-15:04:36-17103,runattr,,,repetition,0,,
General-0-20230512-15:04:36-17103,runattr,,,replication,#0,,
General-0-20230512-15:04:36-17103,runattr,,,resultdir,results,,
General-0-20230512-15:04:36-17103,runattr,,,runnumber,0,,
General-0-20230512-15:04:36-17103,runattr,,,seedset,0,,
General-0-20230512-15:04:36-17103,config,,,cmdenv-express-mode,true,,
General-0-20230512-15:04:36-17103,config,,,network,Network,,
General-0-20230512-15:04:36-17103,config,,,sim-time-limit,200s,,
General-0-20230512-15:04:36-17103,config,,,Network.nodeTx.gen.generationInterval,exponential(0.29),,
General-0-20230512-15:04:36-17103,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230512-15:04:36-17103,config,,,Network.queue.bufferSize,200,,
General-0-20230512-15:04:36-17103,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230512-15:04:36-17103,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230512-15:04:36-17103,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17103,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20230512-15:04:36-17103,config,,,Network.queue.serviceTime,exponential(0.001),,
